2017-08-01 13:45:33
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:937] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GT 730
major: 3 minor: 5 memoryClockRate (GHz) 0.9015
pciBusID 0000:01:00.0
Total memory: 1.95GiB
Free memory: 1.70GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GT 730, pci bus id: 0000:01:00.0)
New data, epoch 0
Step 0 Loss 0.693075
Step 100 Loss 0.702536
Step 200 Loss 0.693263
Step 300 Loss 0.694694
Step 400 Loss 0.693235
Step 500 Loss 0.693649
Step 600 Loss 0.697153
New data, epoch 1
Step 0 Loss 0.70023
Step 100 Loss 0.694348
Step 200 Loss 0.685359
Step 300 Loss 0.691395
Step 400 Loss 0.692562
Step 500 Loss 0.691672
Step 600 Loss 0.688142
New data, epoch 2
Step 0 Loss 0.639211
Step 100 Loss 0.540247
Step 200 Loss 0.486395
Step 300 Loss 0.256703
Step 400 Loss 0.229508
Step 500 Loss 0.00655493
Step 600 Loss 0.00361226
New data, epoch 3
Step 0 Loss 0.331145
Step 100 Loss 0.00343774
Step 200 Loss 0.00203222
Step 300 Loss 0.00154873
Step 400 Loss 0.00130564
Step 500 Loss 0.000980908
Step 600 Loss 0.000802613
New data, epoch 4
Step 0 Loss 0.617085
Step 100 Loss 0.000787882
Step 200 Loss 0.000836607
Step 300 Loss 0.000627805
Step 400 Loss 0.000562539
Step 500 Loss 0.000552182
Step 600 Loss 0.000505025
New data, epoch 5
Step 0 Loss 0.305307
Step 100 Loss 0.000498093
Step 200 Loss 0.000413593
Step 300 Loss 0.000369727
Step 400 Loss 0.000388876
Step 500 Loss 0.000279866
Step 600 Loss 0.000305379
New data, epoch 6
