2017-08-01 11:36:45
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:937] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GT 730
major: 3 minor: 5 memoryClockRate (GHz) 0.9015
pciBusID 0000:01:00.0
Total memory: 1.95GiB
Free memory: 1.65GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GT 730, pci bus id: 0000:01:00.0)
New data, epoch 0
Step 0 Loss 0.694969
Step 100 Loss 0.574345
Step 200 Loss 0.368818
Step 300 Loss 0.0257166
Step 400 Loss 0.00677818
Step 500 Loss 0.00512871
Step 600 Loss 0.00346187
New data, epoch 1
Step 0 Loss 0.86971
Step 100 Loss 0.00280552
Step 200 Loss 0.00236648
Step 300 Loss 0.00195152
Step 400 Loss 0.00171116
Step 500 Loss 0.00156884
Step 600 Loss 0.000984958
New data, epoch 2
Step 0 Loss 0.710237
Step 100 Loss 0.00314726
Step 200 Loss 0.00260528
Step 300 Loss 0.000997196
Step 400 Loss 0.00121805
Step 500 Loss 0.00111065
Step 600 Loss 0.000985449
New data, epoch 3
Step 0 Loss 0.868544
Step 100 Loss 0.00122319
Step 200 Loss 0.000770199
Step 300 Loss 0.000748893
Step 400 Loss 0.000486992
Step 500 Loss 0.000452271
Step 600 Loss 0.000588139
New data, epoch 4
Step 0 Loss 0.705672
Step 100 Loss 0.000568796
Step 200 Loss 0.000439788
Step 300 Loss 0.000481711
Step 400 Loss 0.000393431
Step 500 Loss 0.0003717
Step 600 Loss 0.000341479
New data, epoch 5
Step 0 Loss 0.47699
Step 100 Loss 0.000356761
Step 200 Loss 0.000313493
Step 300 Loss 0.000296596
Step 400 Loss 0.00030372
Step 500 Loss 0.000372955
